t,theta
23.55,-0.1807323391190467
26.189999999999998,0.09124094126134938
1.95,0.9840711178830104
27.06,0.137872721587997
9.51,0.03684607497710185
19.08,-0.03646170293514631
19.98,0.19602626495995798
23.669999999999998,-0.1862844186091081
28.74,-0.0050326019007303335
6.42,0.22793996049377824
2.9099999999999997,-0.44714121894708786
17.49,-0.3580965015011197
13.979999999999999,0.4681455846976129
15.69,0.13715394171966672
7.6499999999999995,0.9618141264427369
11.549999999999999,-0.6196272322006179
16.349999999999998,-0.1306831398989231
11.459999999999999,-0.6424146190214104
14.67,0.4648101736162027
15.389999999999999,0.2583518666539716
